user,id,date,flag,text,url
Tradermayne,1.3976947103706399e+18,2021-05-26,user deleted,its sad brother. where we moving,https://web.archive.org/web/20210526232319/https://twitter.com/Tradermayne/status/1397694710370639872
scottmelker,1394947829647425500,2021-05-19,user deleted,Pile on the FUD. https://twitter.com/coindesk/status/1394947482556190722,https://web.archive.org/web/20210519092758/https://twitter.com/scottmelker/status/1394947829647425536
scottmelker,1394756428955627500,2021-05-18,user deleted,Thank you,https://web.archive.org/web/20210518204732/https://twitter.com/scottmelker/status/1394756428955627520
scottmelker,1394754625992118300,2021-05-18,user deleted,What is the launch date?,https://web.archive.org/web/20210518204031/https://twitter.com/scottmelker/status/1394754625992118273
scottmelker,1394334941555667e3,2021-05-17,user deleted,well done,https://web.archive.org/web/20210517180047/https://twitter.com/scottmelker/status/1394334941555666949
scottmelker,1394284783077838800,2021-05-17,user deleted,Thanks for sharing the proper info.,https://web.archive.org/web/20210517145243/https://twitter.com/scottmelker/status/1394284783077838851
scottmelker,1393887113385595e3,2021-05-16,user deleted,"@flipperofcoin Nope, I’ve always said low volume weekend price action is garbage.",https://web.archive.org/web/20210516111239/https://twitter.com/scottmelker/status/1393887113385594881
Tradermayne,1392923849449037800,2021-05-13,user deleted,Pubes need to save me from BTC dumping pls,https://web.archive.org/web/20210513192512/https://twitter.com/Tradermayne/status/1392923849449037824
scottmelker,1392172351626829800,2021-05-11,user deleted,This is one of the fake accounts on Instagram successfully scamming people. There are 2 Ls in Melker on the fake account. Please report them and ignore any messages. pic.twitter.com/xfRfNoek8h,https://web.archive.org/web/20210511173905/https://twitter.com/scottmelker/status/1392172351626829827
Tradermayne,1391247087048659e3,2021-05-09,user deleted,Except Tony Stark is Elon pic.twitter.com/kQGHi9La0q,https://web.archive.org/web/20210509042223/https://twitter.com/Tradermayne/status/1391247087048658944
scottmelker,1390109426498031600,2021-05-06,user deleted,It absolutely was.,https://web.archive.org/web/20210506011117/https://twitter.com/scottmelker/status/1390109426498031617
Tradermayne,1388200219586613200,2021-04-30,user deleted,Just seen a dead body pic.twitter.com/7oWU6c1uet,https://web.archive.org/web/20210430183533/https://twitter.com/Tradermayne/status/1388200219586613250
scottmelker,1388159747065585700,2021-04-30,user deleted,"Expiration was on hour ago, price was 56,000",https://web.archive.org/web/20210430155432/https://twitter.com/scottmelker/status/1388159747065585669
scottmelker,1388158893268906e3,2021-04-30,user deleted,"""Max Pain"" is a bit of a meme in options expirations, because it rarely comes into play. However, it's a great name for either a villain in a superhero movie or a porn star.",https://web.archive.org/web/20210430155132/https://twitter.com/scottmelker/status/1388158893268905986
scottmelker,1388138803752226800,2021-04-30,user deleted,"$GS Not exactly how I expected price to get there, but the end result was the same. This looks like it is just getting started, following the same pattern as many earlier coins that rounded out after launch. Basically entering price discovery. pic.twitter.com/Uxbi78ynJn",https://web.archive.org/web/20210430143221/https://twitter.com/scottmelker/status/1388138803752226820
scottmelker,1387931891412648e3,2021-04-30,user deleted,A few people also going to end up blind in an eye.,https://web.archive.org/web/20210430004930/https://twitter.com/scottmelker/status/1387931891412647938
Tradermayne,1387834748966367200,2021-04-29,user deleted,Astounding levels of Cap. Stfu before I hire you and the rest of the geek squad to repair my computer. https://twitter.com/UltraXBT/status/1387832237194940419 pic.twitter.com/CQdriISVtz,https://web.archive.org/web/20210429182326/https://twitter.com/Tradermayne/status/1387834748966367233
scottmelker,1387135214267379700,2021-04-27,user deleted,Some of the people that I now count as my closest friends and most trusted confidants I have never met in person.,https://web.archive.org/web/20210427202201/https://twitter.com/scottmelker/status/1387135214267379715
scottmelker,1387067544310276e3,2021-04-27,user deleted,$LKR Clean breakout and pump. Rounding bottom. Potential resistance to support flip here. Targets simply shown as previous swing highs. There's a lot to like on this chart. pic.twitter.com/UXvgN9qL6z,https://web.archive.org/web/20210427194229/https://twitter.com/scottmelker/status/1387067544310276101
scottmelker,1386765618574147600,2021-04-26,user deleted,"$GS Crazy volume on this @GenShards move today. Retesting support as we speak. If there's any follow through, this should head back up. Looking for something like the path below, but hard to chart such a new asset. pic.twitter.com/rmyaofp9La",https://web.archive.org/web/20210426193456/https://twitter.com/scottmelker/status/1386765618574147584
scottmelker,1386690082455924700,2021-04-26,user deleted,$PMON Starting to move. pic.twitter.com/F4IDd9LZpg,https://web.archive.org/web/20210426143455/https://twitter.com/scottmelker/status/1386690082455924739
Tradermayne,1385767386356224e3,2021-04-24,user deleted,https://xn--8dix218m7a.y.at,https://web.archive.org/web/20210424012811/https://twitter.com/Tradermayne/status/1385767386356224005
scottmelker,1386038969893331e3,2021-04-24,user deleted,"$PMON Trying to make my money back from all of the @Polkamonorg packs I opened with my kid. Potential bullish SFP at the all time low, already broken out (weak) of the descending wedge. This is the idea, not tied to time shown. First target is simply $23.9. pic.twitter.com/nTqo7g9Lar",https://web.archive.org/web/20210424192719/https://twitter.com/scottmelker/status/1386038969893330947
scottmelker,1385735535449215e3,2021-04-23,user deleted,"$SAITO Home with kids on a Friday night, digging through some of the new coins that were released this week. A break out of the top of this bull flag should lead to a target of .023. Not a trade until it breaks out. pic.twitter.com/h20tOcre4S",https://web.archive.org/web/20210423232147/https://twitter.com/scottmelker/status/1385735535449214976
scottmelker,1385285771297529900,2021-04-22,user deleted,"Do you ever listen to a long pitch about a company, and when they finally come up for air say to them ""you had me at hello?"" Me either, just checking. pic.twitter.com/1iMHowBOAy",https://web.archive.org/web/20210422173426/https://twitter.com/scottmelker/status/1385285771297529861
scottmelker,1384873059602079700,2021-04-21,user deleted,"So do I. I put out a lot of content, eventually something is going to be misinterpreted. Can't win em all.",https://web.archive.org/web/20210421141429/https://twitter.com/scottmelker/status/1384873059602079744
scottmelker,1384870348269686800,2021-04-21,user deleted,"Imagine of Rogan was held accountable for every comment made on his show. It's a tough job. I could have done better here, but what can you do?",https://web.archive.org/web/20210421140358/https://twitter.com/scottmelker/status/1384870348269686786
scottmelker,1384869278999060500,2021-04-21,user deleted,"Yes, while nobody likes to hear negativity, our team believes we should not censor guests. Imagine if Joe Rogan was held accountable for every comment someone made no his show?",https://web.archive.org/web/20210421135958/https://twitter.com/scottmelker/status/1384869278999060482
scottmelker,1384868156007755800,2021-04-21,user deleted,"Thank you guys - when you put out a few hours of content a day, eventually something is going to slip through the cracks and make people angry. I do my best, but it have teams of editors that handle a lot of this. This was an unfortunate few minutes of content.",https://web.archive.org/web/20210421135531/https://twitter.com/scottmelker/status/1384868156007755776
scottmelker,1384859901370015700,2021-04-21,user deleted,"Yes, he is. My point was clearly that Cardano has entered the mainstream.",https://web.archive.org/web/20210421132222/https://twitter.com/scottmelker/status/1384859901370015744
scottmelker,1384859467234283500,2021-04-21,user deleted,That’s also fine. We can’t control the opinions of our guests.,https://web.archive.org/web/20210421132042/https://twitter.com/scottmelker/status/1384859467234283522
scottmelker,1384440439844e6,2021-04-20,user deleted,"I remember this differently, interesting to hear your perspective. I unfollowed you because you made a point to come back days later and say “I told you so,” which I believed was disrespectful. Nothing to do with the trade itself. I did not block or mute you. Merely unfollowed.",https://web.archive.org/web/20210420093545/https://twitter.com/scottmelker/status/1384440439843999745
scottmelker,1384086235178700800,2021-04-19,user deleted,That seems strange. Higher chance it closes above 62k than 54k?,https://web.archive.org/web/20210419100748/https://twitter.com/scottmelker/status/1384086235178700806
Tradermayne,1383520138406682600,2021-04-17,user deleted,$PMON Uniswap portfolio been getting hammered. Still own a lot of $PMON and will look at to add more if we can reclaim the range low. pic.twitter.com/lVbIliEJvl,https://web.archive.org/web/20210418023322/https://twitter.com/Tradermayne/status/1383520138406682629
Tradermayne,1382551457975525400,2021-04-15,user deleted,"I go over charts every Sunday on YouTube http://www.yoututbe.com/tradermayne And show ppl exactly what I do. The thing is, even with me telling you what to do it doesn't mean it'll work for you. You need to put the reps in, screen time, learn to see it happen live in your own charts. https://twitter.com/Tradermayne/status/1382545484779167747",https://web.archive.org/web/20210415042921/https://twitter.com/Tradermayne/status/1382551457975525383
scottmelker,1382808947523e6,2021-04-15,user deleted,There are people who spend the precious little time they have on this planet visiting YouTube links and hitting the thumbs down button before the video is even available to watch. Have fun staying miserable.,https://web.archive.org/web/20210415213235/https://twitter.com/scottmelker/status/1382808947522998273
scottmelker,1382681580557234200,2021-04-15,user deleted,$KTN Kattana setting up for a move to ~$37. Perfect symmetrical triangle/bull pennant after a nice move up. pic.twitter.com/cZotYocDym,https://web.archive.org/web/20210415130617/https://twitter.com/scottmelker/status/1382681580557234181
scottmelker,1382362548830355500,2021-04-14,user deleted,I love PMON from all perspectives.,https://web.archive.org/web/20210414155852/https://twitter.com/scottmelker/status/1382362548830355457
scottmelker,1382158731245420500,2021-04-14,user deleted,Imagine if the Nasdaq froze tomorrow and couldn’t process orders due to the volatility of the Coinbase listing. That would be fitting.,https://web.archive.org/web/20210414022849/https://twitter.com/scottmelker/status/1382158731245420544
Tradermayne,1381808974886957e3,2021-04-13,user deleted,pic.twitter.com/pg5izUL41c,https://web.archive.org/web/20210413031849/https://twitter.com/Tradermayne/status/1381808974886957057
Tradermayne,1380567032148623400,2021-04-09,user deleted,"$PMON I'm still in PMON. Most IDOs seem to play out similarly, initial bot action then they form a range. As long as we hold above the range low, I like this for a move up, esp when $BTC gets moving again. Once we clear $45 I expect a quick move to $57 pic.twitter.com/DYzlb6xBpn",https://web.archive.org/web/20210409170356/https://twitter.com/Tradermayne/status/1380567032148623361
Tradermayne,1380312304214937600,2021-04-09,user deleted,https://y.at/ 🍆🍑❓,https://web.archive.org/web/20210409001131/https://twitter.com/Tradermayne/status/1380312304214937601
scottmelker,1380198321717928e3,2021-04-08,user deleted,$PMON It looks like it's time to send these cute little dragons back to the moon. pic.twitter.com/EP3KTXae2E,https://web.archive.org/web/20210408163828/https://twitter.com/scottmelker/status/1380198321717927942
scottmelker,1379795622648238e3,2021-04-07,user deleted,Less fun.,https://web.archive.org/web/20210407135835/https://twitter.com/scottmelker/status/1379795622648238091
scottmelker,1379073018387955700,2021-04-05,user deleted,$POOLZ Almost there. pic.twitter.com/QSSkCilHSs,https://web.archive.org/web/20210405140714/https://twitter.com/scottmelker/status/1379073018387955715
scottmelker,1377963224642039800,2021-04-02,user deleted,"$POOLZ Descending triangle are not bearish patterns. From http://thepatternsite.com/dt.html - ""If price rises into the pattern it breaks out upward 63% of the time."" There will be some bumps in the road, but Poolz should be headed back to the highs at $45 and beyond. pic.twitter.com/5cLDPolcC7",https://web.archive.org/web/20210402123806/https://twitter.com/scottmelker/status/1377963224642039811
Tradermayne,1377758970555732e3,2021-04-01,user deleted,$PMON One of the more impressive launches I've seen. Generally I wait for these projects to get the typical listings dump then form some sort of range. PMON on up only mode apparently. I think the NFT burning and gamification on the platform are a differentiator. Long dips. pic.twitter.com/z5ju5ytkNq,https://web.archive.org/web/20210401230532/https://twitter.com/Tradermayne/status/1377758970555731968
scottmelker,1377751808404246500,2021-04-01,user deleted,$URQA Same vibe. Everything that launched the past few days is absolutely mooning. pic.twitter.com/L5AKXmyhLH,https://web.archive.org/web/20210401223730/https://twitter.com/scottmelker/status/1377751808404246531
scottmelker,1377750949008191500,2021-04-01,user deleted,$PMON I guess I am going to have to start buying @Polkamonorg packs. What a chart. pic.twitter.com/AZSGzyQ5Jk,https://web.archive.org/web/20210401223340/https://twitter.com/scottmelker/status/1377750949008191495
scottmelker,1377626791859396600,2021-04-01,user deleted,"The Wolf Den #211 is in your inbox. $BTC $EGLD $ETH and $MINT charts, tons of news and a piece on fear vs. greed. $15 a month, 5 days a week. https://www.getrevue.co/profile/TheWolfDen/issues/the-wolf-den-211-fear-and-greed-504411",https://web.archive.org/web/20210401142055/https://twitter.com/scottmelker/status/1377626791859396609
scottmelker,137757971090185e4,2021-04-01,user deleted,"$PKF Somebody ate their Wheaties this morning. Massive move from @PolkaFoundry today, long time coming after all of this consolidation. I would buy a retest of that descending line, if I get it. pic.twitter.com/lMgW7eMGXJ",https://web.archive.org/web/20210401111320/https://twitter.com/scottmelker/status/1377579710901850115
Tradermayne,1376992131592581e3,2021-03-30,user deleted,Anyone win one of the $PMON eggs? I didn't but still stoked for the IDO tmrw. Pretty confident in this one flying in the coming weeks/month. https://twitter.com/Polkamonorg/status/1376863243440947201,https://web.archive.org/web/20210330201816/https://twitter.com/Tradermayne/status/1376992131592581121
scottmelker,1376190469730922500,2021-03-28,user deleted,"$ODDZ This is the same pattern that I have been hunting for on new coins. Rounding bottom, breakout, push. This has not done the push yet. Above 2.69 is great. Above 2.92 should be full go. pic.twitter.com/veJEa03nAO",https://web.archive.org/web/20210328151312/https://twitter.com/scottmelker/status/1376190469730922496
scottmelker,1375859545117954e3,2021-03-27,user deleted,"$MINT This looks promising. Rounding bottom, resistance broken, consolidation above in a perfect bull flag that is approaching a potential breakout. Side note, I hate charting things that are not available on @tradingview , I only want to look at blue and grey charts. pic.twitter.com/UOFehCtXbn",https://web.archive.org/web/20210327171802/https://twitter.com/scottmelker/status/1375859545117954051
scottmelker,1375813152366022700,2021-03-27,user deleted,It would be an R. Kelly song. https://twitter.com/emimelker/status/1375802820939501573,https://web.archive.org/web/20210327141356/https://twitter.com/scottmelker/status/1375813152366022661
Tradermayne,1375150650795815e3,2021-03-25,user deleted,"Gearing up for the $PMON drop. March 31st, details below. https://twitter.com/Polkamonorg/status/1375126202856341508 pic.twitter.com/nkFAajk1pL",https://web.archive.org/web/20210325183223/https://twitter.com/Tradermayne/status/1375150650795814914
Tradermayne,1374914431323230200,2021-03-25,user deleted,When I find out who’s selling https://youtube.com/watch?v=ZwgH7snNWBI&feature=share,https://web.archive.org/web/20210325024210/https://twitter.com/Tradermayne/status/1374914431323230209
Tradermayne,1374598280659701800,2021-03-24,user deleted,$POLK Up from here or the market is wrong. pic.twitter.com/cBNeC3B3l2,https://web.archive.org/web/20210324054601/https://twitter.com/Tradermayne/status/1374598280659701763
scottmelker,1374770206732599300,2021-03-24,user deleted,Enjoy: $ADA $ALICE $ATOM $BNB $BQX $CHSB $CHZ $CRO $CRV $ENJ $ETH $FET $FTT $GRT $HNT $HOT $INJ $LIT $LUNA $MATIC $NIF $NIM $OXT $PERP $PKF $POLS $QNT $ROSE $RUNE $RVN $SAKE $SCRT,https://web.archive.org/web/20210324170909/https://twitter.com/scottmelker/status/1374770206732599298
Tradermayne,1374425578468647e3,2021-03-23,user deleted,"$PMON @Polkamonorg is being launched on @polkastarter $POLS and is backed by a dope lineup of VC investors. Pokémon meets NFT meets gaming, easy W. I’m investing, this shit is going to fly! https://twitter.com/Polkamonorg/status/1374412403123757066",https://web.archive.org/web/20210323181959/https://twitter.com/Tradermayne/status/1374425578468646919
Tradermayne,1374261265372127200,2021-03-23,user deleted,"$YFDAI @dao_duck Another YFDAI update. Still looking super good HTF, clear uptrend. Assuming $BTC doesn't completely shit the bed I don't see this thing stopping yet. Looking to buy more in the grey box, target is 5 digits. LFG. pic.twitter.com/NEXuLS431K",https://web.archive.org/web/20210323072641/https://twitter.com/Tradermayne/status/1374261265372127234
Tradermayne,1374256672223371300,2021-03-23,user deleted,Stoked to be chatting with the man @nunocor_ in a couple weeks. Will be diving into @UTRUST and his recent involvement in @polkamarkets $POLK on 'Explain to Mayne'. April 4th! https://twitter.com/polkamarkets/status/1374038452673650689,https://web.archive.org/web/20210323070830/https://twitter.com/Tradermayne/status/1374256672223371271
scottmelker,1374005719624777700,2021-03-22,user deleted,"The Wolf Den Newsletter just went out! A lesson on following the herd, $BTC $EGLD $XRP $SIRI and $UDO charts, a review of @DexeNetwork and lots of news. $15 a month, 5 days a week. Join us! https://www.getrevue.co/profile/TheWolfDen/issues/the-wolf-den-203-don-t-follow-the-herd-464848",https://web.archive.org/web/20210322144502/https://twitter.com/scottmelker/status/1374005719624777737
Tradermayne,1373715903183941600,2021-03-21,user deleted,Ash Ketchum looking at this like. As someone who’s spent tens of thousands on real Pokémon cards I’ll definitely be investing in this. Also everything @MoonrockCapital touches is gold. Stoked. $PMON https://twitter.com/polkamonorg/status/1372922544483790857 pic.twitter.com/uqzLxYXnRM,https://web.archive.org/web/20210321191957/https://twitter.com/Tradermayne/status/1373715903183941635
Tradermayne,1372813343346495500,2021-03-19,user deleted,"@UnistakeFinance Another micro cap I'm eyeing up. A platform do to all your uniswapping on. Provide liquidity, staking and trading all in one place. Seems cool, road map looks good and the chart has a pretty clear set up to me. Looking to buy on the s/r flip for a 2x min. pic.twitter.com/vhQS1mRjMD",https://web.archive.org/web/20210319073321/https://twitter.com/Tradermayne/status/1372813343346495492
scottmelker,1373008805282386e3,2021-03-19,user deleted,"$DAFI Beautiful chart and clean launch for this coin. Just higher highs and lows, climbing the stairs. Looks great, presently holding support at .1719 which is the key level for now. Not much price history, but nice action. pic.twitter.com/tn2wbIa9Zm",https://web.archive.org/web/20210319202957/https://twitter.com/scottmelker/status/1373008805282385931
scottmelker,1372941663514079200,2021-03-19,user deleted,"$MINT is pulling the same pattern that we saw on $ETN and $KYL before their huge moves, although this has already broken out. Launch, rounding bottom, breakout and rise. pic.twitter.com/8fZeUoXTVJ",https://web.archive.org/web/20210319160339/https://twitter.com/scottmelker/status/1372941663514079233
scottmelker,1372575007629586400,2021-03-18,user deleted,"$PKF Nice breakout. Minimal price history, has only been trading for a few days, but this is one of the few launches that I have seen that has slowly and steadily risen. Looks ready for another leg up. Always use caution trading on Uniswap and size positions accordingly. pic.twitter.com/0kCrAOtFIC",https://web.archive.org/web/20210318154618/https://twitter.com/scottmelker/status/1372575007629586433
scottmelker,1372325223064871e3,2021-03-17,user deleted,"We are still in the early innings of mainstream adoption, but @anthonydiorio , founder of Ethereum, believes that we can get there. Sponsored by @makersplaceco @NexoFinance @Bitcasinoio Listen to the entire conversation tomorrow! https://www.thewolfofallstreets.io/podcast/ pic.twitter.com/UEV7Ej3D6u",https://web.archive.org/web/20210317231413/https://twitter.com/scottmelker/status/1372325223064870913
Tradermayne,1371521741433012200,2021-03-15,user deleted,$POLK Let's fucking gooooo. Looks like the Kucoin listing is a bullish catalyst as well. Range low buys looking fucking mint. https://twitter.com/Tradermayne/status/1370815995158261760 pic.twitter.com/jA9vd4M63l,https://web.archive.org/web/20210315180058/https://twitter.com/Tradermayne/status/1371521741433012228
scottmelker,1371161068177748e3,2021-03-14,user deleted,do you scrub,https://web.archive.org/web/20210314180808/https://twitter.com/scottmelker/status/1371161068177747970
Tradermayne,1370815995158261800,2021-03-13,user deleted,$POLK Getting a really nice uptick here with this $BTC movement. Range low buys looking excellent up 40%. Let's fucking go! If BTC is going to continue pushing higher I am expecting this to go to $5 at least. Looking to compound above the range high ~$3. https://twitter.com/Tradermayne/status/1369217863081365506 pic.twitter.com/EudTfirYkp,https://web.archive.org/web/20210313191638/https://twitter.com/Tradermayne/status/1370815995158261760
scottmelker,1370886514767323100,2021-03-13,user deleted,“Let the human mind loose. It must be loose. It will be loose. Superstition and dogematism cannot confine it.” - John Adam’s,https://web.archive.org/web/20210313235642/https://twitter.com/scottmelker/status/1370886514767323137
scottmelker,1370692800946315300,2021-03-13,user deleted,"$UDO The Unido chart looks very similar to $KYL and a lot of the other new coins. Rounded bottoms before sizable moves up. $UDO is on the left, $KYL is on the right. There are plenty of examples. So much potential here. pic.twitter.com/NsoyNW6LMK",https://web.archive.org/web/20210313110655/https://twitter.com/scottmelker/status/1370692800946315264
scottmelker,1370458800252129300,2021-03-12,user deleted,"$KYL Gigachad price action on Kylin. In full price discovery with massive green candle after massive green candle. Hard to buy it when it's on full launch, but looks like adding on dips if/when they come is a good idea. pic.twitter.com/4COet1u9M2",https://web.archive.org/web/20210312193659/https://twitter.com/scottmelker/status/1370458800252129294
Tradermayne,1369235699321479200,2021-03-09,user deleted,Grand slam when she lets you see her private keys.,https://web.archive.org/web/20210309103836/https://twitter.com/Tradermayne/status/1369235699321479178
Tradermayne,1369217863081365500,2021-03-09,user deleted,$POLK Been trying to time a break out on this unsuccessfully. Now that more price has developed I think trading it as a range is the move. Bought a little more at the range lows and will add on a close thru the mid range. Looking at comparables this should be a 50M mcap. pic.twitter.com/cL3GfetRdD,https://web.archive.org/web/20210309092613/https://twitter.com/Tradermayne/status/1369217863081365506
scottmelker,1369003730381717500,2021-03-08,user deleted,"I absolutely love NFTs, but these are market top things. Shout to @JahonJamali for sharing this with me. https://twitter.com/tacobell/status/1368807880434982912",https://web.archive.org/web/20210308191523/https://twitter.com/scottmelker/status/1369003730381717508
scottmelker,1368928527203115e3,2021-03-08,user deleted,"The Wolf Den Newsletter just hit inboxes. $BTC , $ETH and $TVK analysis, lots of news and more. $15 a month, 5 days a week. https://www.getrevue.co/profile/TheWolfDen/issues/the-wolf-den-193-invest-only-what-you-can-afford-to-lose-423697",https://web.archive.org/web/20210308141645/https://twitter.com/scottmelker/status/1368928527203115009
scottmelker,1367217073672306700,2021-03-03,user deleted,"$APYS Brand new coin, testing the range highs after the bot pump and dump that we are seeing on every new uniswap listing. Serious volume on the past two candles. I want to see a close above the range highs then would consider a buy on the retest as support. pic.twitter.com/wepQXvbcUK",https://web.archive.org/web/20210303205824/https://twitter.com/scottmelker/status/1367217073672306695
Tradermayne,136661353046451e4,2021-03-02,user deleted,"$Polk This thing has been pretty volatile taking a big hit when dropped. Recovering nicely now, still too early for me to tell if TA works on these buy it looks bullish here. If we can push thru the grey I'm expecting this to pop up past it's listing pump price. pic.twitter.com/Fy1u9jSScc",https://web.archive.org/web/20210302045735/https://twitter.com/Tradermayne/status/1366613530464509956
